polygon_id,ref_type,ref_id,geometry_type,geometry_json
PG-ZN-00070,sector,SEC-00022,polygon,"[[531.0, 1076.0], [547.0, 1029.0], [591.0, 1028.0], [591.0, 1061.0], [568.0, 1059.0], [555.0, 1089.0], [531.0, 1076.0]]"
PG-ZN-00072,sector,SEC-00022,polygon,"[[38.0, 1083.0], [38.0, 0.0], [1075.0, 0.0], [1071.0, 131.0], [1069.0, 196.0], [1067.0, 321.0], [1059.0, 459.0], [1062.0, 610.0], [1065.0, 719.0], [1111.0, 801.0], [1151.0, 865.0], [1164.0, 963.0], [1163.0, 1016.0], [1161.0, 1083.0], [38.0, 1083.0]]"
PG-ZN-00074,sector,SEC-00022,polygon,"[[64.0, 64.0], [75.0, 62.0], [79.0, 44.0], [86.0, 51.0], [82.0, 62.0], [75.0, 88.0], [77.0, 100.0], [72.0, 107.0], [67.0, 98.0], [64.0, 89.0], [60.0, 80.0], [64.0, 64.0]]"
PG-ZN-00076,sector,SEC-00022,polygon,"[[950.0, 779.0], [950.0, 759.0], [957.0, 759.0], [957.0, 779.0], [950.0, 779.0]]"
PG-ZN-00079,sector,SEC-00022,polygon,"[[682.0, 917.0], [683.0, 753.0], [812.0, 753.0], [811.0, 917.0], [682.0, 917.0]]"
PG-ZN-00082,sector,SEC-00022,polygon,"[[740.0, 1071.0], [740.0, 1054.0], [747.0, 1054.0], [747.0, 1071.0], [740.0, 1071.0]]"
PG-ZN-00083,sector,SEC-00022,polygon,"[[804.0, 880.0], [804.0, 862.0], [812.0, 862.0], [812.0, 880.0], [804.0, 880.0]]"
PG-ZN-00089,sector,SEC-00022,polygon,"[[740.0, 758.0], [740.0, 744.0], [747.0, 744.0], [747.0, 758.0], [740.0, 758.0]]"
PG-ZN-00090,sector,SEC-00022,polygon,"[[487.0, 649.0], [487.0, 629.0], [495.0, 629.0], [495.0, 649.0], [487.0, 649.0]]"
PG-ZN-00091,sector,SEC-00022,polygon,"[[537.0, 904.0], [537.0, 879.0], [531.0, 879.0], [531.0, 904.0], [537.0, 904.0]]"
PG-ZN-00094,sector,SEC-00022,polygon,"[[417.0, 539.0], [407.0, 539.0], [407.0, 529.0], [417.0, 529.0], [417.0, 539.0]]"
PG-ZN-00095,level,LVL-00022-001-003,polygon,"[[0.0, 150.0], [0.0, 0.0], [99.0, 0.0], [99.0, 150.0], [0.0, 150.0]]"
