service_section_id,member_type,member_id,role,weight,active
SS-00106,level,LVL-00022-001-002,primary,1.0,True
SS-00117,zone,ZN-00117,primary,1.0,True
SS-00118,zone,ZN-00118,primary,1.0,True
SS-00119,zone,ZN-00119,primary,1.0,True
SS-00120,zone,ZN-00120,primary,1.0,True
SS-00121,zone,ZN-00121,primary,1.0,True
SS-00122,zone,ZN-00122,primary,1.0,True
SS-00165,zone,ZN-00165,primary,1.0,True
SS-00173,zone,ZN-00173,primary,1.0,True
SS-00095,level,LVL-00022-001-003,primary,1.0,True
SS-00103,level,LVL-00022-002-004,primary,1.0,True
SS-00148,zone,ZN-00148,primary,1.0,True
SS-00149,zone,ZN-00149,primary,1.0,True
SS-00150,zone,ZN-00150,primary,1.0,True
SS-00104,level,LVL-00022-003-005,primary,1.0,True
SS-00105,level,LVL-00022-003-006,primary,1.0,True
SS-00174,level,LVL-00022-001-010,primary,1.0,True
SS-00175,zone,ZN-00175,primary,1.0,True
SS-00070,zone,ZN-00070,primary,1.0,True
SS-00072,zone,ZN-00072,primary,1.0,True
SS-00074,zone,ZN-00074,primary,1.0,True
SS-00076,zone,ZN-00076,primary,1.0,True
SS-00079,zone,ZN-00079,primary,1.0,True
SS-00082,zone,ZN-00082,primary,1.0,True
SS-00083,zone,ZN-00083,primary,1.0,True
SS-00089,zone,ZN-00089,primary,1.0,True
SS-00090,zone,ZN-00090,primary,1.0,True
SS-00091,zone,ZN-00091,primary,1.0,True
SS-00094,zone,ZN-00094,primary,1.0,True
SS-00096,zone,ZN-00096,primary,1.0,True
SS-00107,zone,ZN-00107,primary,1.0,True
SS-00110,zone,ZN-00110,primary,1.0,True
SS-00112,sector,SEC-00022,primary,1.0,True
SS-00114,zone,ZN-00114,primary,1.0,True
SS-00115,zone,ZN-00115,primary,1.0,True
SS-00116,zone,ZN-00116,primary,1.0,True
SS-00142,zone,ZN-00142,primary,1.0,True
SS-00143,zone,ZN-00143,primary,1.0,True
SS-00146,zone,ZN-00146,primary,1.0,True
SS-00147,zone,ZN-00147,primary,1.0,True
SS-00160,zone,ZN-00160,primary,1.0,True
SS-00161,zone,ZN-00161,primary,1.0,True
SS-00162,zone,ZN-00162,primary,1.0,True
SS-00164,zone,ZN-00164,primary,1.0,True
SS-00166,zone,ZN-00166,primary,1.0,True
SS-00167,zone,ZN-00167,primary,1.0,True
SS-00168,zone,ZN-00168,primary,1.0,True
SS-00169,zone,ZN-00169,primary,1.0,True
