sward_id,spot_id,role,active
SWD-000167,SP-000167,primary_sensor,True
SWD-000168,SP-000168,primary_sensor,True
SWD-000169,SP-000169,primary_sensor,True
SWD-000170,SP-000170,primary_sensor,True
SWD-000171,SP-000171,primary_sensor,True
SWD-000172,SP-000172,primary_sensor,True
SWD-000173,SP-000173,primary_sensor,True
SWD-000174,SP-000174,primary_sensor,True
SWD-000175,SP-000175,primary_sensor,True
SWD-000176,SP-000176,primary_sensor,True
SWD-000177,SP-000177,primary_sensor,True
SWD-000178,SP-000178,primary_sensor,True
SWD-000180,SP-000180,primary_sensor,True
SWD-000181,SP-000181,primary_sensor,True
SWD-000183,SP-000183,primary_sensor,True
SWD-000260,SP-000260,primary_sensor,True
SWD-000261,SP-000261,primary_sensor,True
SWD-000303,SP-000303,primary_sensor,True
SWD-000152,SP-000152,primary_sensor,True
SWD-000153,SP-000153,primary_sensor,True
SWD-000154,SP-000154,primary_sensor,True
SWD-000155,SP-000155,primary_sensor,True
SWD-000156,SP-000156,primary_sensor,True
SWD-000157,SP-000157,primary_sensor,True
SWD-000158,SP-000158,primary_sensor,True
SWD-000159,SP-000159,primary_sensor,True
SWD-000160,SP-000160,primary_sensor,True
SWD-000161,SP-000161,primary_sensor,True
SWD-000162,SP-000162,primary_sensor,True
SWD-000163,SP-000163,primary_sensor,True
SWD-000164,SP-000164,primary_sensor,True
SWD-000165,SP-000165,primary_sensor,True
SWD-000166,SP-000166,primary_sensor,True
SWD-000179,SP-000179,primary_sensor,True
SWD-000182,SP-000182,primary_sensor,True
SWD-000184,SP-000184,primary_sensor,True
SWD-000185,SP-000185,primary_sensor,True
SWD-000186,SP-000186,primary_sensor,True
SWD-000187,SP-000187,primary_sensor,True
SWD-000188,SP-000188,primary_sensor,True
SWD-000189,SP-000189,primary_sensor,True
SWD-000191,SP-000191,primary_sensor,True
SWD-000192,SP-000192,primary_sensor,True
SWD-000193,SP-000193,primary_sensor,True
SWD-000194,SP-000194,primary_sensor,True
SWD-000195,SP-000195,primary_sensor,True
SWD-000213,SP-000213,primary_sensor,True
SWD-000234,SP-000234,primary_sensor,True
SWD-000235,SP-000235,primary_sensor,True
SWD-000238,SP-000238,primary_sensor,True
SWD-000134,SP-000134,primary_sensor,True
SWD-000197,SP-000197,primary_sensor,True
SWD-000199,SP-000199,primary_sensor,True
SWD-000202,SP-000202,primary_sensor,True
SWD-000203,SP-000203,primary_sensor,True
SWD-000204,SP-000204,primary_sensor,True
SWD-000205,SP-000205,primary_sensor,True
SWD-000206,SP-000206,primary_sensor,True
SWD-000208,SP-000208,primary_sensor,True
SWD-000209,SP-000209,primary_sensor,True
SWD-000211,SP-000211,primary_sensor,True
SWD-000253,SP-000253,primary_sensor,True
SWD-000254,SP-000254,primary_sensor,True
SWD-000198,SP-000198,primary_sensor,True
SWD-000200,SP-000200,primary_sensor,True
SWD-000201,SP-000201,primary_sensor,True
SWD-000207,SP-000207,primary_sensor,True
SWD-000210,SP-000210,primary_sensor,True
SWD-000214,SP-000214,primary_sensor,True
SWD-000215,SP-000215,primary_sensor,True
SWD-000216,SP-000216,primary_sensor,True
SWD-000217,SP-000217,primary_sensor,True
SWD-000218,SP-000218,primary_sensor,True
SWD-000262,SP-000262,primary_sensor,True
SWD-000272,SP-000272,primary_sensor,True
SWD-000273,SP-000273,primary_sensor,True
SWD-000274,SP-000274,primary_sensor,True
SWD-000275,SP-000275,primary_sensor,True
SWD-000276,SP-000276,primary_sensor,True
SWD-000277,SP-000277,primary_sensor,True
SWD-000278,SP-000278,primary_sensor,True
SWD-000279,SP-000279,primary_sensor,True
SWD-000280,SP-000280,primary_sensor,True
SWD-000282,SP-000282,primary_sensor,True
SWD-000283,SP-000283,primary_sensor,True
SWD-000284,SP-000284,primary_sensor,True
SWD-000285,SP-000285,primary_sensor,True
SWD-000286,SP-000286,primary_sensor,True
SWD-000287,SP-000287,primary_sensor,True
SWD-000288,SP-000288,primary_sensor,True
SWD-000289,SP-000289,primary_sensor,True
SWD-000290,SP-000290,primary_sensor,True
SWD-000291,SP-000291,primary_sensor,True
SWD-000292,SP-000292,primary_sensor,True
SWD-000293,SP-000293,primary_sensor,True
SWD-000294,SP-000294,primary_sensor,True
SWD-000295,SP-000295,primary_sensor,True
SWD-000296,SP-000296,primary_sensor,True
SWD-000297,SP-000297,primary_sensor,True
SWD-000298,SP-000298,primary_sensor,True
SWD-000299,SP-000299,primary_sensor,True
SWD-000300,SP-000300,primary_sensor,True
SWD-000301,SP-000301,primary_sensor,True
SWD-000220,SP-000220,primary_sensor,True
SWD-000219,SP-000219,primary_sensor,True
SWD-000221,SP-000221,primary_sensor,True
SWD-000222,SP-000222,primary_sensor,True
SWD-000223,SP-000223,primary_sensor,True
SWD-000224,SP-000224,primary_sensor,True
SWD-000263,SP-000263,primary_sensor,True
SWD-000264,SP-000264,primary_sensor,True
SWD-000265,SP-000265,primary_sensor,True
SWD-000266,SP-000266,primary_sensor,True
SWD-000267,SP-000267,primary_sensor,True
SWD-000268,SP-000268,primary_sensor,True
SWD-000269,SP-000269,primary_sensor,True
SWD-000270,SP-000270,primary_sensor,True
SWD-000271,SP-000271,primary_sensor,True
SWD-000281,SP-000281,primary_sensor,True
SWD-000117,SP-000117,primary_sensor,True
SWD-000118,SP-000118,primary_sensor,True
SWD-000119,SP-000119,primary_sensor,True
SWD-000120,SP-000120,primary_sensor,True
SWD-000121,SP-000121,primary_sensor,True
SWD-000122,SP-000122,primary_sensor,True
SWD-000123,SP-000123,primary_sensor,True
SWD-000124,SP-000124,primary_sensor,True
SWD-000125,SP-000125,primary_sensor,True
SWD-000127,SP-000127,primary_sensor,True
SWD-000129,SP-000129,primary_sensor,True
SWD-000130,SP-000130,primary_sensor,True
SWD-000131,SP-000131,primary_sensor,True
SWD-000132,SP-000132,primary_sensor,True
SWD-000133,SP-000133,primary_sensor,True
SWD-000135,SP-000135,primary_sensor,True
SWD-000136,SP-000136,primary_sensor,True
SWD-000138,SP-000138,primary_sensor,True
SWD-000139,SP-000139,primary_sensor,True
SWD-000140,SP-000140,primary_sensor,True
SWD-000141,SP-000141,primary_sensor,True
SWD-000142,SP-000142,primary_sensor,True
SWD-000143,SP-000143,primary_sensor,True
SWD-000144,SP-000144,primary_sensor,True
SWD-000145,SP-000145,primary_sensor,True
SWD-000146,SP-000146,primary_sensor,True
SWD-000147,SP-000147,primary_sensor,True
SWD-000148,SP-000148,primary_sensor,True
SWD-000149,SP-000149,primary_sensor,True
SWD-000190,SP-000190,primary_sensor,True
