sward_id,ref_type,ref_id,x,y,z,pos_source
SWD-000167,level,LVL-00022-001-002,16.0,146.0,,as_built
SWD-000168,level,LVL-00022-001-002,64.0,73.0,,as_built
SWD-000169,level,LVL-00022-001-002,47.0,144.0,,as_built
SWD-000170,level,LVL-00022-001-002,64.0,20.0,,as_built
SWD-000171,level,LVL-00022-001-002,25.0,19.0,,as_built
SWD-000172,level,LVL-00022-001-002,9.0,29.0,,as_built
SWD-000173,level,LVL-00022-001-002,9.0,72.0,,as_built
SWD-000174,level,LVL-00022-001-002,28.0,107.0,,as_built
SWD-000175,level,LVL-00022-001-002,87.0,75.0,,as_built
SWD-000176,level,LVL-00022-001-002,64.0,141.0,,as_built
SWD-000177,level,LVL-00022-001-002,20.0,112.0,,as_built
SWD-000178,level,LVL-00022-001-002,87.0,141.0,,as_built
SWD-000180,level,LVL-00022-001-002,28.0,140.0,,as_built
SWD-000181,level,LVL-00022-001-002,39.0,21.0,,as_built
SWD-000183,level,LVL-00022-001-002,32.0,106.0,,as_built
SWD-000260,level,LVL-00022-001-002,20.0,123.0,,as_built
SWD-000261,level,LVL-00022-001-002,45.0,93.0,,as_built
SWD-000303,level,LVL-00022-001-002,23.0,26.0,,as_built
SWD-000152,level,LVL-00022-001-003,93.0,74.0,,as_built
SWD-000153,level,LVL-00022-001-003,90.0,16.0,,as_built
SWD-000154,level,LVL-00022-001-003,28.0,18.0,,as_built
SWD-000155,level,LVL-00022-001-003,13.0,79.0,,as_built
SWD-000156,level,LVL-00022-001-003,68.0,18.0,,as_built
SWD-000157,level,LVL-00022-001-003,25.0,111.0,,as_built
SWD-000158,level,LVL-00022-001-003,31.0,85.0,,as_built
SWD-000159,level,LVL-00022-001-003,49.0,11.0,,as_built
SWD-000160,level,LVL-00022-001-003,68.0,83.0,,as_built
SWD-000161,level,LVL-00022-001-003,88.0,121.0,,as_built
SWD-000162,level,LVL-00022-001-003,60.0,120.0,,as_built
SWD-000163,level,LVL-00022-001-003,16.0,121.0,,as_built
SWD-000164,level,LVL-00022-001-003,68.0,120.0,,as_built
SWD-000165,level,LVL-00022-001-003,48.0,75.0,,as_built
SWD-000166,level,LVL-00022-001-003,9.0,9.0,,as_built
SWD-000179,level,LVL-00022-001-003,,,,as_built
SWD-000182,level,LVL-00022-001-003,84.0,11.0,,as_built
SWD-000184,level,LVL-00022-001-003,27.0,80.0,,as_built
SWD-000185,level,LVL-00022-002-004,276.0,54.0,,as_built
SWD-000186,level,LVL-00022-002-004,323.0,143.0,,as_built
SWD-000187,level,LVL-00022-002-004,274.0,141.0,,as_built
SWD-000188,level,LVL-00022-002-004,329.0,98.0,,as_built
SWD-000189,level,LVL-00022-002-004,216.0,55.0,,as_built
SWD-000191,level,LVL-00022-002-004,299.0,109.0,,as_built
SWD-000192,level,LVL-00022-002-004,264.0,96.0,,as_built
SWD-000193,level,LVL-00022-002-004,228.0,143.0,,as_built
SWD-000194,level,LVL-00022-002-004,323.0,54.0,,as_built
SWD-000195,level,LVL-00022-002-004,229.0,97.0,,as_built
SWD-000213,level,LVL-00022-002-004,180.0,171.0,,as_built
SWD-000234,level,LVL-00022-002-004,317.0,68.0,,as_built
SWD-000235,level,LVL-00022-002-004,157.0,99.0,,as_built
SWD-000238,level,LVL-00022-002-004,316.0,54.0,,as_built
SWD-000134,level,LVL-00022-003-005,675.0,793.0,,as_built
SWD-000197,level,LVL-00022-003-005,142.0,79.0,,as_built
SWD-000199,level,LVL-00022-003-005,48.0,79.0,,as_built
SWD-000202,level,LVL-00022-003-005,142.0,60.0,,as_built
SWD-000203,level,LVL-00022-003-005,83.0,79.0,,as_built
SWD-000204,level,LVL-00022-003-005,178.0,51.0,,as_built
SWD-000205,level,LVL-00022-003-005,24.0,61.0,,as_built
SWD-000206,level,LVL-00022-003-005,190.0,78.0,,as_built
SWD-000208,level,LVL-00022-003-005,237.0,78.0,,as_built
SWD-000209,level,LVL-00022-003-005,228.0,52.0,,as_built
SWD-000211,level,LVL-00022-003-005,95.0,52.0,,as_built
SWD-000253,level,LVL-00022-003-005,,,,as_built
SWD-000254,level,LVL-00022-003-005,,,,as_built
SWD-000198,level,LVL-00022-003-006,15.0,39.0,,as_built
SWD-000200,level,LVL-00022-003-006,3.0,27.0,,as_built
SWD-000201,level,LVL-00022-003-006,26.0,27.0,,as_built
SWD-000207,level,LVL-00022-003-006,61.0,39.0,,as_built
SWD-000210,level,LVL-00022-003-006,85.0,28.0,,as_built
SWD-000214,level,LVL-00022-003-006,143.0,28.0,,as_built
SWD-000215,level,LVL-00022-003-006,109.0,79.0,,as_built
SWD-000216,level,LVL-00022-003-006,72.0,38.0,,as_built
SWD-000217,level,LVL-00022-003-006,76.0,38.0,,as_built
SWD-000218,level,LVL-00022-003-006,73.0,79.0,,as_built
SWD-000262,level,LVL-00022-002-007,,,,as_built
SWD-000272,level,LVL-00022-002-007,,,,as_built
SWD-000273,level,LVL-00022-002-007,,,,as_built
SWD-000274,level,LVL-00022-002-007,,,,as_built
SWD-000275,level,LVL-00022-002-007,,,,as_built
SWD-000276,level,LVL-00022-002-007,,,,as_built
SWD-000277,level,LVL-00022-002-007,,,,as_built
SWD-000278,level,LVL-00022-002-007,,,,as_built
SWD-000279,level,LVL-00022-002-007,,,,as_built
SWD-000280,level,LVL-00022-002-007,,,,as_built
SWD-000282,level,LVL-00022-002-007,,,,as_built
SWD-000283,level,LVL-00022-002-007,,,,as_built
SWD-000284,level,LVL-00022-002-007,,,,as_built
SWD-000285,level,LVL-00022-002-007,,,,as_built
SWD-000286,level,LVL-00022-002-007,,,,as_built
SWD-000287,level,LVL-00022-002-007,,,,as_built
SWD-000288,level,LVL-00022-002-007,,,,as_built
SWD-000289,level,LVL-00022-002-007,,,,as_built
SWD-000290,level,LVL-00022-002-007,,,,as_built
SWD-000291,level,LVL-00022-002-007,,,,as_built
SWD-000292,level,LVL-00022-002-007,,,,as_built
SWD-000293,level,LVL-00022-002-007,,,,as_built
SWD-000294,level,LVL-00022-002-007,,,,as_built
SWD-000295,level,LVL-00022-002-007,,,,as_built
SWD-000296,level,LVL-00022-002-007,,,,as_built
SWD-000297,level,LVL-00022-002-007,,,,as_built
SWD-000298,level,LVL-00022-002-007,,,,as_built
SWD-000299,level,LVL-00022-002-007,,,,as_built
SWD-000300,level,LVL-00022-002-007,,,,as_built
SWD-000301,level,LVL-00022-002-007,,,,as_built
SWD-000220,level,LVL-00022-004-008,14.0,286.0,,as_built
SWD-000219,level,LVL-00022-001-010,80.0,119.0,,as_built
SWD-000221,level,LVL-00022-001-010,49.0,94.0,,as_built
SWD-000222,level,LVL-00022-001-010,47.0,76.0,,as_built
SWD-000223,level,LVL-00022-001-010,24.0,12.0,,as_built
SWD-000224,level,LVL-00022-001-010,68.0,80.0,,as_built
SWD-000263,level,LVL-00022-001-010,68.0,20.0,,as_built
SWD-000264,level,LVL-00022-001-010,9.0,79.0,,as_built
SWD-000265,level,LVL-00022-001-010,44.0,119.0,,as_built
SWD-000266,level,LVL-00022-001-010,88.0,82.0,,as_built
SWD-000267,level,LVL-00022-001-010,25.0,108.0,,as_built
SWD-000268,level,LVL-00022-001-010,48.0,16.0,,as_built
SWD-000269,level,LVL-00022-001-010,67.0,99.0,,as_built
SWD-000270,level,LVL-00022-001-010,32.0,81.0,,as_built
SWD-000271,level,LVL-00022-001-010,32.0,21.0,,as_built
SWD-000281,level,LVL-00022-001-010,80.0,3.0,,as_built
SWD-000117,sector,SEC-00022,251.0,347.0,,as_built
SWD-000118,sector,SEC-00022,390.0,422.0,,as_built
SWD-000119,sector,SEC-00022,92.0,67.0,,as_built
SWD-000120,sector,SEC-00022,,,,as_built
SWD-000121,sector,SEC-00022,555.0,1120.0,,as_built
SWD-000122,sector,SEC-00022,,,,as_built
SWD-000123,sector,SEC-00022,695.0,526.0,,as_built
SWD-000124,sector,SEC-00022,658.0,1031.0,,as_built
SWD-000125,sector,SEC-00022,541.0,803.0,,as_built
SWD-000127,sector,SEC-00022,538.0,977.0,,as_built
SWD-000129,sector,SEC-00022,776.0,772.0,,as_built
SWD-000130,sector,SEC-00022,746.0,788.0,,as_built
SWD-000131,sector,SEC-00022,773.0,743.0,,as_built
SWD-000132,sector,SEC-00022,643.0,530.0,,as_built
SWD-000133,sector,SEC-00022,618.0,530.0,,as_built
SWD-000135,sector,SEC-00022,776.0,843.0,,as_built
SWD-000136,sector,SEC-00022,802.0,878.0,,as_built
SWD-000138,sector,SEC-00022,541.0,883.0,,as_built
SWD-000139,sector,SEC-00022,250.0,57.0,,as_built
SWD-000140,sector,SEC-00022,745.0,810.0,,as_built
SWD-000141,sector,SEC-00022,782.0,765.0,,as_built
SWD-000142,sector,SEC-00022,695.0,708.0,,as_built
SWD-000143,sector,SEC-00022,41.0,109.0,,as_built
SWD-000144,sector,SEC-00022,,,,as_built
SWD-000145,sector,SEC-00022,531.0,1068.0,,as_built
SWD-000146,sector,SEC-00022,587.0,393.0,,as_built
SWD-000147,sector,SEC-00022,,,,as_built
SWD-000148,sector,SEC-00022,605.0,530.0,,as_built
SWD-000149,sector,SEC-00022,643.0,510.0,,as_built
SWD-000190,sector,SEC-00022,,,,as_built
SWD-000196,sector,SEC-00022,816.0,803.0,,as_built
SWD-000212,sector,SEC-00022,,,,as_built
SWD-000225,sector,SEC-00022,690.0,1012.0,,as_built
SWD-000226,sector,SEC-00022,817.0,853.0,,as_built
SWD-000227,sector,SEC-00022,631.0,510.0,,as_built
SWD-000229,sector,SEC-00022,816.0,777.0,,as_built
SWD-000230,sector,SEC-00022,504.0,556.0,,as_built
SWD-000231,sector,SEC-00022,439.0,543.0,,as_built
SWD-000232,sector,SEC-00022,631.0,530.0,,as_built
SWD-000233,sector,SEC-00022,618.0,510.0,,as_built
SWD-000236,sector,SEC-00022,412.0,516.0,,as_built
SWD-000237,sector,SEC-00022,699.0,1036.0,,as_built
SWD-000239,sector,SEC-00022,686.0,376.0,,as_built
SWD-000240,sector,SEC-00022,408.0,514.0,,as_built
SWD-000241,sector,SEC-00022,344.0,558.0,,as_built
SWD-000242,sector,SEC-00022,145.0,706.0,,as_built
SWD-000243,sector,SEC-00022,,,,as_built
SWD-000244,sector,SEC-00022,,,,as_built
SWD-000245,sector,SEC-00022,100.0,648.0,,as_built
SWD-000246,sector,SEC-00022,,,,as_built
SWD-000247,sector,SEC-00022,148.0,635.0,,as_built
SWD-000248,sector,SEC-00022,882.0,587.0,,as_built
SWD-000249,sector,SEC-00022,46.0,414.0,,as_built
SWD-000250,sector,SEC-00022,,,,as_built
SWD-000251,sector,SEC-00022,115.0,974.0,,as_built
SWD-000252,sector,SEC-00022,271.0,469.0,,as_built
SWD-000255,sector,SEC-00022,531.0,421.0,,as_built
SWD-000256,sector,SEC-00022,605.0,510.0,,as_built
SWD-000257,sector,SEC-00022,670.0,535.0,,as_built
SWD-000258,sector,SEC-00022,570.0,522.0,,as_built
SWD-000259,sector,SEC-00022,539.0,510.0,,as_built
