sward_id,sward_name,sward_model,status
SWD-000167,wwt_B1F_X17Y05,1,active
SWD-000168,wwt_B1F_X09Y17,1,active
SWD-000169,wwt_B1F_X17Y13,1,active
SWD-000170,wwt_B1F_X04Y17_망실,1,active
SWD-000171,wwt_B1F_X03Y07,1,active
SWD-000172,wwt_B1F_X04Y03,1,active
SWD-000173,wwt_B1F_X09Y03,1,active
SWD-000174,wwt_B1F_X12Y08,1,active
SWD-000175,wwt_B1F_X10Y23,1,active
SWD-000176,wwt_B1F_X16Y17,1,active
SWD-000177,wwt_B1F_X13Y06,1,active
SWD-000178,wwt_B1F_X16Y23,1,active
SWD-000180,wwt_B1F_X16Y08,1,active
SWD-000181,wwt_B1F_X04Y11,1,active
SWD-000183,wwt_B1F_TB17_밀폐,2,active
SWD-000260,wwt_B1F_X14Y06_TB02_밀폐,2,active
SWD-000261,wwt_B1F_X10Y13_TB08_밀폐,2,active
SWD-000303,wwt_B1F_TB02_밀폐2,2,active
SWD-000152,wwt_1F_X09Y24,1,active
SWD-000153,wwt_1F_X03Y22,1,active
SWD-000154,wwt_1F_X03Y08,1,active
SWD-000155,wwt_1F_X10Y04,1,active
SWD-000156,wwt_1F_X03Y18,1,active
SWD-000157,wwt_1F_X13Y07,1,active
SWD-000158,wwt_1F_X10Y09,1,active
SWD-000159,wwt_1F_X03Y13,1,active
SWD-000160,wwt_1F_X10Y18,1,active
SWD-000161,wwt_1F_X14Y23,1,active
SWD-000162,wwt_1F_X14Y16,1,active
SWD-000163,wwt_1F_X14Y05,1,active
SWD-000164,wwt_1F_X14Y18,1,active
SWD-000165,wwt_1F_X09Y13,1,active
SWD-000166,wwt_1F_X02Y03,1,active
SWD-000179,wwt_호이스트_1-2,1,active
SWD-000182,wwt_호이스트_1-0,1,active
SWD-000184,wwt_호이스트_1-1,1,active
SWD-000185,fab_1F_X24Y06,1,active
SWD-000186,fab_1F_X28Y12,1,active
SWD-000187,fab_1F_X24Y12,1,active
SWD-000188,fab_1F_X29Y09,1,active
SWD-000189,fab_1F_X19Y06,1,active
SWD-000191,fab_1F_X26Y11,1,active
SWD-000192,fab_1F_X23Y09,1,active
SWD-000193,fab_1F_X20Y12,1,active
SWD-000194,fab_1F_X28Y06,1,active
SWD-000195,fab_1F_X20Y09,1,active
SWD-000213,fab_1F_X16Y15_휴게실_F03_1층2번,1,active
SWD-000234,fab_1F_X28Y07_휴게실_F02_1층1번,1,active
SWD-000235,fab_1F_X14Y09,1,active
SWD-000238,fab_1F_X27Y06_휴게실_F02_1층4번,1,active
SWD-000134,cub_호이스트_1-2,1,active
SWD-000197,cub_1F_X13Y09,1,active
SWD-000199,cub_1F_X05Y09,1,active
SWD-000202,cub_1F_X13Y07,1,active
SWD-000203,cub_1F_X08Y09,1,active
SWD-000204,cub_1F_X16Y06,1,active
SWD-000205,cub_1F_X03Y07,1,active
SWD-000206,cub_1F_X17Y09,1,active
SWD-000208,cub_1F_X21Y09,1,active
SWD-000209,cub_1F_X20Y06,1,active
SWD-000211,cub_1F_X09Y06,1,active
SWD-000253,cub_호이스트_1-0,1,active
SWD-000254,cub_호이스트_1-1,1,active
SWD-000198,cub_B1F_X02Y05,1,active
SWD-000200,cub_B1F_X01Y04,1,active
SWD-000201,cub_B1F_X03Y04_망실,1,active
SWD-000207,cub_B1F_X06Y05,1,active
SWD-000210,cub_B1F_X08Y04,1,active
SWD-000214,cub_B1F_X13Y04,1,active
SWD-000215,cub_B1F_X10Y09_망실,1,active
SWD-000216,cub_B1F_X07Y09_망실,1,active
SWD-000217,cub_B1F_X0705,1,active
SWD-000218,cub_B1F_X07Y05_망실,1,active
SWD-000262,Ready,1,active
SWD-000272,Ready,1,active
SWD-000273,Ready,1,active
SWD-000274,Ready,1,active
SWD-000275,Ready,1,active
SWD-000276,Ready,1,active
SWD-000277,Ready,1,active
SWD-000278,Ready,1,active
SWD-000279,Ready,1,active
SWD-000280,Ready,1,active
SWD-000282,Ready,1,active
SWD-000283,Ready,1,active
SWD-000284,Ready,1,active
SWD-000285,Ready,1,active
SWD-000286,Ready,1,active
SWD-000287,Ready,1,active
SWD-000288,Ready,1,active
SWD-000289,Ready,1,active
SWD-000290,Ready,1,active
SWD-000291,Ready,1,active
SWD-000292,Ready,1,active
SWD-000293,Ready,1,active
SWD-000294,Ready,1,active
SWD-000295,Ready,1,active
SWD-000296,Ready,1,active
SWD-000297,Ready,1,active
SWD-000298,Ready,1,active
SWD-000299,Ready,1,active
SWD-000300,Ready,1,active
SWD-000301,Ready,1,active
SWD-000220,upw_1F_X11Y11_입구,1,active
SWD-000219,wwt_2F_X14Y21,1,active
SWD-000221,wwt_2F_X11Y13_휴게실,1,active
SWD-000222,wwt_2F_X09Y13,1,active
SWD-000223,wwt_2F_X02Y06,1,active
SWD-000224,wwt_2F_X10Y18,1,active
SWD-000263,wwt_2F_X03Y18,1,active
SWD-000264,wwt_2F_X10Y03,1,active
SWD-000265,wwt_2F_X14Y12,1,active
SWD-000266,wwt_2F_X10Y23,1,active
SWD-000267,wwt_2F_X13Y07,1,active
SWD-000268,wwt_2F_X03Y13,1,active
SWD-000269,wwt_2F_X12Y18,1,active
SWD-000270,wwt_2F_X10Y08,1,active
SWD-000271,wwt_2F_X03Y08,1,active
SWD-000281,wwt_2F_X01Y20,1,active
SWD-000117,배처_플랜트_사무실입구_컨테이너,0,active
SWD-000118,본진_후문_보안통제실_컨테이너,0,active
